date,AN,SN,IN,PN,DN,LS,interpretation
2024-04-06,3.0,2,0.0,2.0,2,6.0,Warning
2024-04-07,3.0,2,0.0,2.0,2,6.0,Warning
2024-04-07,2.0,2,0.0,2.0,2,5.333333333333333,Warning
2024-04-08,3.0,3,0.0,2.0,2,6.666666666666666,Warning
2024-04-09,3.0,2,0.0,2.0,2,6.0,Warning
2024-04-10,2.0,2,0.0,2.0,2,5.333333333333333,Warning
2024-04-11,3.0,1,0.0,2.0,2,5.333333333333333,Warning
2024-06-21,2.0,3,0.0,2.0,2,6.0,Warning
2024-06-22,2.0,2,0.0,2.0,2,5.333333333333333,Warning
2024-06-23,3.0,2,0.0,2.0,2,6.0,Warning
2024-06-24,3.0,3,0.0,2.0,2,6.666666666666666,Warning
2024-06-24,3.0,3,0.0,2.0,2,6.666666666666666,Warning
2024-06-30,2.0,1,0.0,2.0,2,4.666666666666667,Monitoring
2024-07-01,3.0,3,0.0,2.0,2,6.666666666666666,Warning
2024-07-06,3.0,3,0.0,2.0,2,6.666666666666666,Warning
2024-07-08,2.5,1,0.0,2.0,2,5.0,Monitoring
2024-07-11,2.0,2,0.0,2.0,2,5.333333333333333,Warning
2024-10-14,1.0,3,0.0,2.0,2,5.333333333333333,Warning
2024-10-15,2.0,2,0.0,2.0,2,5.333333333333333,Warning
2024-10-16,2.0,2,0.0,2.0,2,5.333333333333333,Warning
2024-10-17,2.5,3,0.0,2.0,2,6.333333333333333,Warning
2024-10-19,0.0,3,0.0,2.0,2,4.666666666666667,Monitoring
2024-10-20,2.0,3,0.0,2.0,2,6.0,Warning
2024-10-21,3.0,3,0.0,2.0,2,6.666666666666666,Warning
2024-10-22,3.0,3,0.0,2.0,2,6.666666666666666,Warning
2024-10-25,2.0,2,0.0,2.0,2,5.333333333333333,Warning
2024-10-26,2.5,2,0.0,2.0,2,5.666666666666666,Warning
2024-10-29,2.0,2,0.0,2.0,2,5.333333333333333,Warning
2024-10-30,1.0,2,0.0,2.0,2,4.666666666666667,Monitoring
2024-10-31,1.0,2,0.0,2.0,2,4.666666666666667,Monitoring
2024-11-01,2.5,2,0.0,2.0,2,5.666666666666666,Warning
2024-11-02,1.0,0,0.0,2.0,2,3.333333333333333,Monitoring
2024-11-03,2.0,3,0.0,2.0,2,6.0,Warning
2024-11-04,2.0,3,0.0,2.0,2,6.0,Warning
2024-11-05,3.0,2,0.0,2.0,2,6.0,Warning
2024-11-07,2.0,2,0.0,2.0,2,5.333333333333333,Warning
2024-11-10,2.0,2,0.0,2.0,2,5.333333333333333,Warning
2024-11-11,2.5,3,0.0,2.0,2,6.333333333333333,Warning
2024-11-12,2.0,3,0.0,2.0,2,6.0,Warning
2024-11-13,2.5,2,0.0,2.0,2,5.666666666666666,Warning
2024-11-14,3.0,3,0.0,2.0,2,6.666666666666666,Warning
2024-11-15,2.0,3,0.0,2.0,2,6.0,Warning
2024-11-16,2.0,1,0.0,2.0,2,4.666666666666667,Monitoring
2024-11-17,2.5,3,0.0,2.0,2,6.333333333333333,Warning
2024-11-18,0.0,3,0.0,2.0,2,4.666666666666667,Monitoring
2024-11-23,2.0,2,0.0,2.0,2,5.333333333333333,Warning
2024-11-23,3.0,3,0.0,2.0,2,6.666666666666666,Warning
2024-11-24,2.0,2,0.0,2.0,2,5.333333333333333,Warning
2024-11-25,2.0,3,0.0,2.0,2,6.0,Warning
2024-11-26,2.5,1,0.0,2.0,2,5.0,Monitoring
2024-11-27,2.5,3,0.0,2.0,2,6.333333333333333,Warning
2024-11-29,2.5,1,0.0,2.0,2,5.0,Monitoring
2024-12-23,2.0,1,0.0,2.0,2,4.666666666666667,Monitoring
2024-12-24,1.0,1,0.0,2.0,2,4.0,Monitoring
2024-12-24,3.0,3,0.0,2.0,2,6.666666666666666,Warning
2024-12-26,1.0,1,0.0,2.0,2,4.0,Monitoring
2024-12-27,1.0,1,0.0,2.0,2,4.0,Monitoring
2024-12-29,2.0,3,0.0,2.0,2,6.0,Warning
2024-12-30,2.0,3,0.0,2.0,2,6.0,Warning
2025-01-01,2.5,1,0.0,2.0,2,5.0,Monitoring
2025-01-01,2.5,3,0.0,2.0,2,6.333333333333333,Warning
2025-01-04,2.0,3,0.0,2.0,2,6.0,Warning
2025-01-05,2.5,2,0.0,2.0,2,5.666666666666666,Warning
2025-01-06,1.0,1,0.0,2.0,2,4.0,Monitoring
2025-01-07,1.0,2,0.0,2.0,2,4.666666666666667,Monitoring
2025-01-08,2.0,3,0.0,2.0,2,6.0,Warning
2025-01-10,2.0,3,0.0,2.0,2,6.0,Warning
2025-01-11,2.5,3,0.0,2.0,2,6.333333333333333,Warning
2025-01-12,1.0,1,0.0,2.0,2,4.0,Monitoring
2025-01-13,2.0,2,0.0,2.0,2,5.333333333333333,Warning
2025-01-15,2.0,1,0.0,2.0,2,4.666666666666667,Monitoring
2025-01-17,2.0,2,0.0,2.0,2,5.333333333333333,Warning
2025-01-18,1.0,2,0.0,2.0,2,4.666666666666667,Monitoring
2025-01-23,2.0,1,0.0,2.0,2,4.666666666666667,Monitoring
2025-01-25,1.0,3,0.0,2.0,2,5.333333333333333,Warning
2025-01-25,2.5,2,0.0,2.0,2,5.666666666666666,Warning
2025-01-27,2.5,2,0.0,2.0,2,5.666666666666666,Warning
2025-02-05,2.0,1,0.0,2.0,2,4.666666666666667,Monitoring
2025-02-06,2.0,2,0.0,2.0,2,5.333333333333333,Warning
2025-02-08,2.5,3,0.0,2.0,2,6.333333333333333,Warning
2025-02-08,2.0,1,0.0,2.0,2,4.666666666666667,Monitoring
2025-02-10,3.0,3,0.0,2.0,2,6.666666666666666,Warning
2025-02-26,3.0,2,0.0,2.0,2,6.0,Warning
2025-03-29,3.0,3,0.0,2.0,2,6.666666666666666,Warning
2025-03-30,2.5,3,0.0,2.0,2,6.333333333333333,Warning
2025-03-31,3.0,3,0.0,2.0,2,6.666666666666666,Warning
2025-04-01,2.0,2,0.0,2.0,2,5.333333333333333,Warning
2025-04-02,2.0,2,0.0,2.0,2,5.333333333333333,Warning
2025-04-03,2.0,2,0.0,2.0,2,5.333333333333333,Warning
2025-04-05,2.0,1,0.0,2.0,2,4.666666666666667,Monitoring
2025-04-06,3.0,3,0.0,2.0,2,6.666666666666666,Warning
2025-04-07,3.0,2,0.0,2.0,2,6.0,Warning
2025-04-08,2.5,3,0.0,2.0,2,6.333333333333333,Warning
2025-04-09,3.0,3,0.0,2.0,2,6.666666666666666,Warning
2025-04-11,2.0,2,0.0,2.0,2,5.333333333333333,Warning
